"model","beta","se","p","f","f_p"
"Base_Nontaster",NA,NA,NA,0.940768699825367,0.390712024719222
"Base_Taster",-0.00669176834449402,0.0182325037878818,0.713687508877266,NA,NA
"Base_Supertaster",0.020883223289714,0.0258832462494294,0.419981541907154,NA,NA
"Lifestyle_Nontaster",NA,NA,NA,0.93634379617444,0.392444964246614
"Lifestyle_Taster",-0.00588813185519426,0.0183134814595759,0.747892709988244,NA,NA
"Lifestyle_Supertaster",0.0193201328179655,0.0260084277918963,0.457774044721204,NA,NA
"Carb.Quality_Nontaster",NA,NA,NA,0.936281896108508,0.392469640897015
"Carb.Quality_Taster",-0.00645955521121038,0.0183235555793302,0.724526433988369,NA,NA
"Carb.Quality_Supertaster",0.0198733950268411,0.0260155386102478,0.4451268910035,NA,NA
"Diet.Patterns_Nontaster",NA,NA,NA,0.948053965194875,0.387888435010029
"Diet.Patterns_Taster",-0.00246691036319671,0.0183209031761752,0.892919260148659,NA,NA
"Diet.Patterns_Supertaster",0.0204561484690167,0.0260484078743857,0.432480841925573,NA,NA
